,game_str,play_per_game_throw,type_throw,play_id,player_id_throw,player_position_throw,xy_throw_angle_throw,elevation_throw_angle_throw,throw_bounced_throw,throw_velo_throw,batter_dist_to_first_throw,thrower_x_throw,thrower_y_throw,batter_x_throw,batter_y_throw,ball_position_x_throw,ball_position_y_throw,ball_position_z_throw,play_per_game_receive,type_receive,player_id_receive,player_position_receive,xy_throw_angle_receive,elevation_throw_angle_receive,throw_bounced_receive,throw_velo_receive,batter_dist_to_first_receive,thrower_x_receive,thrower_y_receive,batter_x_receive,batter_y_receive,ball_position_x_receive,ball_position_y_receive,ball_position_z_receive,target,dist_from_bag_receive,dist_from_bag_throw,shorten_throw_by,batter_time_to_first_throw,throw_time_to_first_throw
0,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,58.0,1972.0,6.0,2.358087331808282,4.034777069909266,0.0,72.68606163222884,51.95406767948892,-39.444,125.9001,26.6307,27.1764,-35.5353,121.1655,5.69469,,trusted_first_base_out_receives,2526.0,3.0,,,0.0,,23.27634646066025,,,47.2962,47.0661,59.6838,65.3253,2.773476,1,5.116850013655922,114.79250983325825,4.39995622216319,1.92422472886996,1.0767654735200065
1,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,119.0,1972.0,6.0,2.914253751052369,4.1011994076712295,0.0,74.82366499548887,54.07715958445868,-26.9574,141.8769,22.0485,29.0778,-24.59556,137.9598,5.61321,,trusted_first_base_out_receives,2526.0,3.0,,,0.0,,27.688541228165462,,,43.506,44.6319,61.2504,67.7586,3.64299,1,5.9954798066407164,115.50083983113018,4.652653109577428,2.0028577623873582,1.0524582412772328
2,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,149.0,6993.0,4.0,0.5961217757409235,4.94508718224297,0.0,62.53184512355112,28.725288074145723,-5.085,116.7762,43.4148,43.2411,-6.31158,113.2134,6.00636,,trusted_first_base_out_receives,5616.0,3.0,,,0.0,,2.266254878012316,,,61.6044,62.6427,58.833,66.285,4.70961,1,7.230630376132955,85.94652995010205,5.767047466469401,1.0638995583016935,0.9370997270684298
3,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,185.0,6993.0,4.0,2.377584473945503,4.687237484460974,0.0,63.13356879368871,39.970366439980666,30.3021,121.4715,35.5083,35.2449,29.72007,117.4977,5.62452,,trusted_first_base_out_receives,5616.0,3.0,,,0.0,,21.603011882927223,,,48.4122,48.3159,59.3652,62.8815,6.93441,1,8.181158645843668,63.897294662044956,2.240445205559965,1.4803839422215062,0.6900504435352801
4,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,223.0,4044.0,1.0,6.460405944875444,-2.4944840975543348,0.0,63.04217944597928,34.97485918554942,25.4832,32.9205,38.4414,39.3849,30.4794,33.8613,5.69025,,trusted_first_base_out_receives,5616.0,3.0,,,0.0,,20.634997197560285,,,48.414,49.7118,60.6081,67.4022,1.922883,1,5.200443727858185,44.93023767781095,0.01282786293889874,1.2953651550203489,0.4859216006514324
5,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,234.0,2790.0,2.0,0.171071456598805,5.651117733909221,0.0,71.61004388245652,54.7225338186387,,,27.6969,22.3761,19.67667,-22.73799,4.65753,,trusted_first_base_out_receives,2526.0,3.0,,,0.0,,28.88653223740321,,,43.9923,42.4638,64.6722,60.0243,5.42379,1,6.5995612028063375,97.03361552428949,3.010787685358181,2.0267605118014336,0.9238617397680501
6,1903_01_TeamNE_TeamA2,,trusted_first_base_out_throws,260.0,6993.0,4.0,1.6572036500301917,1.9731896255418704,0.0,76.07625199019648,58.49928485290278,-9.6936,141.276,22.3248,22.224,-2.992542,132.5001,5.61126,,trusted_first_base_out_receives,5616.0,3.0,,,0.0,,35.06742759786895,,,39.2451,38.4477,61.6743,65.0712,2.361351,1,3.3893763733624507,95.98487902058967,2.5293877524299377,2.16664017973714,0.8602257162865992
7,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,25.0,6697.0,6.0,1.72988500709832,3.1461522070413066,0.0,64.15566570536429,38.39749816615274,0.3429,104.7387,37.083,35.9067,-1.196373,102.4359,4.82721,,trusted_first_base_out_receives,8020.0,3.0,,,0.0,,17.455767974259363,,,51.7611,50.8488,58.5555,62.7567,3.17652,1,6.059536910536364,75.7110215349727,4.103938500076709,1.4221295617093606,0.8046051318728822
8,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,96.0,6697.0,6.0,1.6770026413235923,5.742445945324091,0.0,71.15788870231341,40.30973218186408,9.0777,145.1664,35.6952,34.5882,8.50848,141.4836,3.72003,,trusted_first_base_out_receives,8020.0,3.0,,,0.0,,16.33501649744483,,,52.3338,51.8493,62.4402,65.4369,3.49242,1,4.106803230971089,95.4618608833702,2.2943712948803974,1.4929530437727436,0.9146723487259588
9,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,141.0,2590.0,6.0,0.8433776808840107,3.443161740840134,0.0,78.20445684950118,40.88938450596608,-8.1402,132.8298,33.9948,35.4771,-6.76779,129.9699,4.71009,,trusted_first_base_out_receives,1784.0,3.0,,,0.0,,19.42453321947451,,,49.3704,50.46,57.4191,64.2213,2.926194,1,6.8989653382159135,96.84572420391108,5.063065471440777,1.514421648369114,0.8443211241299852
10,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,146.0,8027.0,1.0,7.622729879402986,-0.2337870904782168,0.0,58.91380673758599,47.59076210304257,9.4941,54.0006,28.5474,31.4928,12.45528,52.4907,6.71553,,trusted_first_base_out_receives,8020.0,3.0,,,0.0,,35.08505596707006,,,37.5009,40.236,59.9874,64.605,4.89456,1,6.182825809905096,52.81318219502125,3.9581493034351847,1.7626208186312065,0.6112008625268599
11,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,177.0,9325.0,4.0,1.151602487489782,4.087138534881521,0.0,54.47918289108977,45.940916771544245,54.7125,131.7498,31.6044,30.7107,52.1334,127.2324,4.40991,,trusted_first_base_out_receives,8020.0,3.0,,,0.0,,26.358708662409523,,,45.2517,44.754,60.5286,65.7498,3.56832,1,5.183067942744778,64.7756364882864,2.867200820950627,1.7015154359831202,0.8106619927278045
12,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,219.0,9325.0,4.0,0.0824102207268072,5.969418761866925,0.0,56.048745156718695,39.398229886773066,45.7755,136.5666,36.4605,35.1174,47.4816,130.3722,4.43628,,trusted_first_base_out_receives,8020.0,3.0,,,0.0,,18.315951244111314,,,50.949,50.4327,61.2678,65.0748,4.43637,1,5.231312681326226,68.80407258404374,2.235022345053668,1.4591936995101136,0.8369643492497653
13,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,237.0,2248.0,1.0,1.2855029290724644,1.4750733262452245,0.0,76.08919200381379,42.3076301349433,-13.5297,41.1012,31.0701,36.6366,-12.4284,38.3841,5.56608,,trusted_first_base_out_receives,1784.0,3.0,,,0.0,,24.79268178517009,,,43.5717,49.0809,62.9397,63.57,1.992255,1,2.112770698000044,80.344036742668,0.8225611005968487,1.5669492642571594,0.7199285290977844
14,1903_16_TeamNI_TeamA3,,trusted_first_base_out_throws,276.0,2590.0,6.0,1.8561676283619504,2.251697273103206,0.0,77.41564672482578,26.115333960528567,-12.2883,97.6848,44.2158,46.1832,-11.03469,94.8255,6.32526,,trusted_first_base_out_receives,1784.0,3.0,,,0.0,,6.084579506329968,,,58.6812,60.1131,59.6868,66.1758,5.87223,1,7.5193119807203495,81.17154523977301,5.068402435572633,0.9672345911306877,0.7148810342245904
15,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,68.0,8033.0,4.0,1.8325121828125268,6.26545140232118,0.0,60.293827493024885,38.831002093335584,64.1361,130.647,35.3772,37.011,61.6896,129.9417,2.641734,,trusted_first_base_out_receives,3191.0,3.0,,,0.0,,20.072712370521295,,,48.6885,50.2464,64.4736,70.6281,2.938362,1,7.626827531372832,66.3833442664398,7.072369699324486,1.4381852627161327,0.750662950562292
16,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,79.0,2190.0,6.0,2.397748326001695,3.1959237450344924,0.0,73.39708821701349,39.0026439895117,-6.5106,143.7252,36.5646,35.5656,-6.59274,139.884,4.59141,,trusted_first_base_out_receives,2240.0,3.0,,,0.0,,11.972067216371144,,,55.1292,55.2192,61.7877,66.2406,0.560103,1,3.2416715648534766,103.76353422592753,3.1894301800987512,1.4445423699819147,0.96388369203846
17,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,296.0,1628.0,4.0,1.7926788086264314,4.243513043673533,0.0,54.99830902161194,38.90224674928785,3.1359,134.6382,36.8613,35.4207,5.11053,129.8619,5.68215,,trusted_first_base_out_receives,2240.0,3.0,,,0.0,,8.028905388143183,,,58.014,57.9111,60.9273,68.3787,-0.1086603,1,5.461447186267813,88.56258647049108,5.329168816804101,1.4408239536773277,1.0978921067874674
18,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,302.0,1628.0,4.0,0.2791358309947209,3.9342322889163466,0.0,61.74488818584548,31.787879811884764,51.3492,146.6742,42.1416,40.2237,50.484,140.0145,3.33711,,trusted_first_base_out_receives,2240.0,3.0,,,0.0,,9.60579501522808,,,57.5046,56.2482,62.1054,73.6137,1.59237,1,10.216257075679646,77.57145197132994,10.148931941425186,1.1773288819216579,0.8565636101770264
19,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,337.0,1119.0,5.0,2.7587507498464903,3.78610623832296,0.0,71.24116375948068,41.480431643094605,-11.5605,122.6625,34.8141,33.8115,-9.32628,118.0356,5.34003,,trusted_first_base_out_receives,2240.0,3.0,,,0.0,,20.35966457119937,,,49.6821,48.8172,62.8218,66.7317,3.79653,1,4.964219213033063,91.16721320456405,2.7218460633512023,1.536312283077578,0.8725019017859638
20,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,341.0,1628.0,4.0,0.8927699221679086,6.323698612239326,0.0,45.82341365389301,43.73490516247539,73.0806,118.74,32.9136,32.5164,69.6762,117.4908,4.94553,,trusted_first_base_out_receives,2240.0,3.0,,,0.0,,25.16721270377065,,,46.1019,45.5892,62.2689,67.2699,4.05324,1,5.611292585925335,54.41368681769942,3.8090861902469033,1.6198113023139034,0.8096166323213925
21,1902_02_TeamMG_TeamA3,,trusted_first_base_out_throws,353.0,9418.0,1.0,0.741998378201458,10.863607628894869,0.0,29.013919508912167,57.05649976602654,27.594,62.3436,22.9875,23.604,30.54,61.6863,3.10914,,trusted_first_base_out_receives,3191.0,3.0,,,0.0,,45.73080463111856,,,31.2924,31.3137,60.8727,63.2538,3.58962,1,4.548627705504881,33.30264817369049,3.1077976402042777,2.11320369503802,0.7825841999333286
